i	unique	total_seen
100	100	120
101	100	101
102	100	142
103	97	141
104	73	126
105	100	119
106	82	193
107	100	156
108	100	135
109	27	30
10	13	22
110	16	26
111	100	149
112	100	1692
113	100	135
114	100	164
115	89	90
116	100	167
117	100	232
118	100	118
119	100	154
11	100	123
120	100	122
121	100	164
122	100	143
123	100	161
124	100	113
125	4	82
126	100	465
127	100	109
128	100	191
129	40	44
12	0	2
130	100	131
131	2	3
132	100	103
133	100	108
134	28	38
135	100	134
136	100	104
137	40	7682
138	29	30
139	2	4
13	100	125
140	76	146
141	100	115
142	100	218
143	49	73
145	72	128
146	55	137
147	100	122
148	100	130
149	100	111
14	100	116
150	100	154
151	100	176
152	1	1
153	100	140
154	100	106
155	100	135
156	100	107
157	100	158
158	100	107
159	100	280
15	42	225
160	100	174
161	100	105
162	6	7
163	100	147
164	100	224
165	100	115
166	100	107
167	100	103
168	25	27
169	2	3
16	100	145
171	100	382
172	100	121
173	100	222
174	100	309
175	100	108
176	5	7
177	100	109
178	25	40
179	100	126
17	100	1957
180	3	3
181	100	254
182	100	341
183	100	141
184	41	43
185	2	3
186	100	162
187	100	103
188	100	120
189	100	106
18	43	76
190	20	33
191	100	153
192	41	52
193	100	153
194	100	121
195	100	132
196	100	119
197	100	494
198	100	196
199	100	104
19	100	225
1	79	9359
200	100	115
201	1	1
202	100	128
203	100	118
204	100	157
205	100	131
206	100	107
207	98	118
208	32	42
209	100	118
20	100	189
210	94	108
211	100	143
212	100	138
213	100	112
214	100	125
215	100	289
216	66	72
217	90	110
218	100	122
219	100	159
21	100	649
220	1	2
221	100	120
222	100	112
223	100	151
225	100	108
226	100	120
227	100	135
228	100	312
229	100	366
22	100	102
230	1	2
231	94	316
232	16	19
233	100	112
234	100	167
235	100	111
236	98	145
237	100	141
238	100	136
239	100	146
23	100	107
240	97	105
241	100	121
242	100	109
244	100	121
245	76	119
246	100	150
247	79	210
248	96	156
249	100	102
24	100	116
250	100	103
251	100	129
252	100	138
253	100	149
255	100	201
256	100	505
257	100	241
258	16	17
259	100	131
25	100	132
260	100	104
261	100	125
262	59	68
263	100	152
264	100	948
265	57	63
266	0	1
267	19	23
268	100	213
269	100	129
26	100	169
270	100	102
271	2	4
272	100	163
273	100	262
274	3	5
275	100	117
276	100	194
277	100	149
278	22	23
279	5	1418
27	100	138
280	100	176
281	100	407
282	100	110
283	27	31
284	100	106
285	100	111
286	1	1
287	100	154
288	100	111
289	100	113
28	100	139
290	0	5
291	100	159
292	100	166
293	100	122
294	100	128
295	100	103
296	100	113
297	100	299
298	0	1
299	14	27
29	38	65
2	1	1
300	100	144
301	100	114
302	100	103
303	100	151
304	5	11
305	100	109
306	100	206
307	21	141
308	100	123
309	2	2
30	100	155
310	100	244
311	100	220
312	40	246
313	100	152
314	100	235
315	100	135
316	100	146
317	100	105
318	100	104
319	100	155
31	100	106
320	100	240
321	100	139
322	100	425
323	100	595
324	100	146
325	100	104
326	100	224
327	100	104
328	100	122
329	100	260
32	100	150
330	100	123
331	3	13
332	100	111
333	49	49
334	100	124
335	100	200
336	22	23
337	100	427
338	100	100
339	56	95
33	100	110
340	100	181
341	100	151
343	100	175
344	100	169
345	100	141
346	100	104
347	100	122
348	5	71
349	100	112
34	100	108
350	29	154
352	100	104
353	100	119
354	100	101
355	29	41
356	100	426
357	100	120
358	100	126
359	100	209
35	100	162
360	100	119
361	100	190
362	100	385
363	100	114
364	100	111
365	22	44
366	100	481
367	100	109
368	100	181
369	100	195
370	1	3
371	100	113
372	100	137
373	100	124
374	100	204
375	100	128
376	100	102
377	0	1
378	36	45
379	100	130
37	100	139
380	100	103
381	100	128
382	40	91
383	100	107
384	100	136
385	100	723
386	100	113
387	100	135
388	100	118
389	100	160
38	100	133
390	100	2768
391	2	4
392	100	123
393	100	126
394	100	133
396	100	174
397	22	28
398	100	108
399	100	329
39	100	244
3	19	4102
400	39	44
401	36	69
402	100	106
403	100	164
404	12	13
405	100	143
406	100	197
407	100	129
408	0	23
409	100	126
40	100	106
410	100	170
411	100	125
412	100	271
413	100	171
414	100	114
415	100	103
416	100	123
417	22	46
418	35	207
419	100	169
41	100	329
420	100	218
421	100	145
422	100	112
423	100	103
424	100	160
425	87	98
426	100	114
427	3	10
428	100	163
429	100	165
42	100	163
430	28	52
431	100	199
432	100	125
433	28	42
434	6	7
435	100	125
436	100	160
437	100	120
438	100	131
439	100	137
43	100	109
440	100	190
441	100	107
442	100	185
443	24	52
444	100	539
445	100	120
446	100	140
447	100	106
448	100	366
449	100	657
44	13	26
450	100	179
451	100	147
452	100	126
453	100	109
454	100	164
455	100	120
456	100	130
457	100	124
458	100	328
459	100	136
45	46	48
460	100	119
461	11	15
462	100	660
463	100	119
464	100	108
465	100	180
466	34	42
467	100	174
468	68	104
469	100	119
46	100	166
470	100	108
471	100	109
472	100	173
473	100	154
474	72	231
475	44	46
476	100	106
47	100	115
48	63	175
49	30	36
4	100	103
50	100	441
51	100	177
52	100	109
53	100	175
54	100	105
55	100	105
56	100	123
58	66	94
59	62	68
5	100	119
60	17	23
61	100	337
62	44	47
63	6	6
64	100	185
65	100	109
66	100	165
67	100	161
68	100	162
69	100	115
6	100	129
70	100	115
72	80	134
73	100	115
74	100	617
75	100	275
76	100	127
77	100	360
78	100	521
79	100	164
7	100	122
80	100	202
81	0	3
82	100	104
83	100	124
84	0	2
85	100	197
86	100	121
87	100	162
88	12	19
8	100	128
90	100	140
91	100	123
92	100	155
93	100	161
94	100	112
95	100	143
97	100	148
98	100	105
99	100	173
9	100	457
